STATION,NAME,DATE,AWND,PRCP,TAVG,TMAX,TMIN,TOBS,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19
US1TXKN0046,"BOERNE 3.3 SSE, TX US",4/24/2010,,0,,,,,,,,,,,,,,,,,,,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",4/25/2010,,0,,,,,,,,,,,,,,,,,,,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",4/26/2010,,0,,,,,,,,,,,,,,,,,,,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",4/27/2010,,0,,,,,,,,,,,,,,,,,,,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",4/28/2010,,0,,,,,,,,,,,,,,,,,,,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",4/29/2010,,0,,,,,,,,,,,,,,,,,,,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",4/30/2010,,0,,,,,,,,,,,,,,,,,,,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",5/1/2010,,0,,,,,,,,,,,,,,,,,,,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",5/2/2010,,0,,,,,,,,,,,,,,,,,,,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",5/3/2010,,0,,,,,,,,,,,,,,,,,,,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",5/4/2010,,0,,,,,,,,,,,,,,,,,,,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",5/5/2010,,0,,,,,,,,,,,,,,,,,,,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",5/6/2010,,0,,,,,,,,,,,,,,,,,,,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",5/8/2010,,0,,,,,,,,,,,,,,,,,,,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",5/9/2010,,0.02,,,,,,,,,,,,,,,,,,,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",5/10/2010,,0.02,,,,,,,,,,,,,,,,,,,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",5/11/2010,,0,,,,,,,,,,,,,,,,,,,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",5/12/2010,,0,,,,,,,,,,,,,,,,,,,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",5/13/2010,,0,,,,,,,,,,,,,,,,,,,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",5/14/2010,,0.55,,,,,,,,,,,,,,,,,,,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",5/15/2010,,3.9,,,,,,,,,,,,,,,,,,,,,
